Equipment Name,Type,Flowrate,Pressure,Temperature
Pump-1,Pump,144.34,2.2,130.8
Reactor-2,Reactor,174.21,7.5,147.9
Reactor-3,Reactor,186.35,2.1,137.3
Condenser-4,Condenser,170.01,5.8,148.2
Reactor-5,Reactor,70.72,6.5,88.0
HeatExchanger-6,HeatExchanger,141.91,4.6,126.4
Pump-7,Pump,133.29,4.6,84.0
Pump-8,Pump,63.21,4.8,100.2
Condenser-9,Condenser,168.62,7.6,104.7
Reactor-10,Reactor,138.17,7.3,135.1
HeatExchanger-11,HeatExchanger,73.64,9.3,92.2
Valve-12,Valve,114.03,9.9,93.7
Valve-13,Valve,95.09,5.7,145.2
Valve-14,Valve,125.28,3.3,98.4
Reactor-15,Reactor,159.31,6.0,122.3
Condenser-16,Condenser,78.33,2.9,85.5
HeatExchanger-17,HeatExchanger,92.97,7.4,81.6
Compressor-18,Compressor,193.15,7.1,121.8
Condenser-19,Condenser,54.12,5.9,128.3
Reactor-20,Reactor,139.13,9.8,103.3
Condenser-21,Condenser,166.68,9.4,88.1
Pump-22,Pump,196.02,8.0,118.9
Reactor-23,Reactor,115.46,3.1,118.9
Reactor-24,Reactor,182.26,9.0,129.6
Valve-25,Valve,96.23,2.2,90.5
Reactor-26,Reactor,106.26,7.6,146.2
HeatExchanger-27,HeatExchanger,188.02,9.9,131.8
Reactor-28,Reactor,121.28,5.0,119.1
HeatExchanger-29,HeatExchanger,102.14,1.9,120.9
HeatExchanger-30,HeatExchanger,135.68,9.7,125.3
Compressor-31,Compressor,99.91,7.5,116.1
Condenser-32,Condenser,169.74,3.7,101.5
Condenser-33,Condenser,77.33,9.2,140.6
Compressor-34,Compressor,73.56,2.4,115.9
HeatExchanger-35,HeatExchanger,130.55,5.2,144.6
Compressor-36,Compressor,154.17,9.2,80.4
Valve-37,Valve,162.92,3.7,127.8
Pump-38,Pump,167.78,6.5,85.8
Condenser-39,Condenser,150.71,5.9,143.1
HeatExchanger-40,HeatExchanger,105.09,8.9,128.1
Pump-41,Pump,84.26,5.3,149.8
Compressor-42,Compressor,122.92,1.9,115.2
Reactor-43,Reactor,120.16,3.3,126.3
Reactor-44,Reactor,159.37,9.4,101.8
Reactor-45,Reactor,176.9,5.1,98.0
Pump-46,Pump,148.99,7.6,113.3
Pump-47,Pump,124.96,3.4,142.5
Pump-48,Pump,104.35,6.8,116.8
Valve-49,Valve,124.89,5.7,147.4
Compressor-50,Compressor,181.16,6.8,137.5
Reactor-51,Reactor,167.41,7.9,116.5
Reactor-52,Reactor,59.5,6.8,145.1
Condenser-53,Condenser,165.64,1.8,116.4
Reactor-54,Reactor,54.93,7.6,148.1
Pump-55,Pump,125.34,6.4,122.9
Compressor-56,Compressor,125.59,4.4,103.0
HeatExchanger-57,HeatExchanger,122.14,2.5,121.8
HeatExchanger-58,HeatExchanger,127.31,9.1,109.9
Valve-59,Valve,73.68,5.7,103.5
Compressor-60,Compressor,175.41,2.4,104.1
Valve-61,Valve,150.56,3.4,136.0
HeatExchanger-62,HeatExchanger,176.38,8.9,104.7
Valve-63,Valve,63.38,6.8,149.8
Valve-64,Valve,175.15,3.8,127.7
HeatExchanger-65,HeatExchanger,103.05,6.9,109.5
Condenser-66,Condenser,91.6,4.7,107.2
Pump-67,Pump,86.83,8.7,85.2
Valve-68,Valve,83.28,3.7,101.5
Valve-69,Valve,186.05,5.2,125.7
Pump-70,Pump,121.12,7.3,91.3
Pump-71,Pump,56.98,1.6,146.6
Pump-72,Pump,59.86,5.7,102.8
Reactor-73,Reactor,71.56,5.0,144.6
HeatExchanger-74,HeatExchanger,165.6,2.2,141.9
Valve-75,Valve,81.08,9.1,105.8
HeatExchanger-76,HeatExchanger,178.55,2.1,83.5
Compressor-77,Compressor,139.21,3.3,80.6
Pump-78,Pump,110.16,5.2,89.8
HeatExchanger-79,HeatExchanger,154.1,9.1,101.0
Pump-80,Pump,98.6,6.4,85.8
Condenser-81,Condenser,166.05,4.9,130.1
Compressor-82,Compressor,67.51,8.8,92.7
Pump-83,Pump,62.81,9.1,129.1
Condenser-84,Condenser,117.32,2.8,127.2
Reactor-85,Reactor,120.47,7.8,148.7
Compressor-86,Compressor,107.07,9.3,123.8
Compressor-87,Compressor,136.36,2.0,106.4
HeatExchanger-88,HeatExchanger,115.27,2.5,149.8
Reactor-89,Reactor,103.59,8.7,112.4
Compressor-90,Compressor,100.96,1.6,99.4
Condenser-91,Condenser,120.36,7.5,95.8
Pump-92,Pump,132.14,1.7,89.3
Compressor-93,Compressor,101.09,9.6,133.4
Condenser-94,Condenser,95.16,4.9,93.7
Reactor-95,Reactor,69.97,5.7,136.5
Compressor-96,Compressor,64.94,7.5,104.1
Compressor-97,Compressor,191.6,4.6,127.4
Pump-98,Pump,139.72,2.4,90.8
Condenser-99,Condenser,54.5,4.1,88.3
Valve-100,Valve,125.24,9.3,117.5
