Equipment Name,Type,Flowrate,Pressure,Temperature
Reactor-1,Reactor,60.04,0.9,59.9
Condenser-2,Condenser,32.36,2.5,41.7
Compressor-3,Compressor,78.69,2.2,82.6
Valve-4,Valve,67.77,1.2,77.3
Reactor-5,Reactor,15.33,1.0,67.9
Pump-6,Pump,15.18,0.6,66.9
Valve-7,Valve,79.53,2.6,71.9
Compressor-8,Compressor,35.65,1.8,22.5
Reactor-9,Reactor,37.73,1.9,49.6
Valve-10,Valve,60.2,2.8,63.3
Compressor-11,Compressor,57.21,1.3,74.5
Compressor-12,Compressor,63.47,2.0,80.6
Compressor-13,Compressor,46.59,2.9,62.1
HeatExchanger-14,HeatExchanger,12.82,2.9,83.0
Pump-15,Pump,50.6,1.5,31.5
Valve-16,Valve,61.2,2.0,63.6
Condenser-17,Condenser,70.52,1.3,44.1
Pump-18,Pump,60.9,0.6,37.3
Valve-19,Valve,49.51,2.3,51.2
Compressor-20,Compressor,51.09,1.8,36.3
