Equipment Name,Type,Flowrate,Pressure,Temperature
Pump-1,Pump,120.81,5.3,107.2
Pump-2,Pump,124.01,4.8,118.3
Pump-3,Pump,133.05,4.9,100.4
Pump-4,Pump,101.41,5.5,101.9
Condenser-5,Condenser,134.33,4.2,110.2
Pump-6,Pump,111.93,5.4,103.3
Pump-7,Pump,102.81,4.4,109.8
Pump-8,Pump,102.57,4.5,114.9
HeatExchanger-9,HeatExchanger,117.15,4.4,112.5
Compressor-10,Compressor,149.05,5.7,104.7
Pump-11,Pump,109.91,5.1,112.0
Pump-12,Pump,108.89,5.4,117.7
Valve-13,Valve,125.45,4.3,111.7
HeatExchanger-14,HeatExchanger,127.53,6.0,100.7
Condenser-15,Condenser,107.3,4.5,103.7
Pump-16,Pump,133.13,5.5,105.2
Pump-17,Pump,136.48,4.3,116.8
Pump-18,Pump,128.9,5.4,112.0
Pump-19,Pump,100.14,5.0,118.4
HeatExchanger-20,HeatExchanger,132.89,5.0,113.0
Pump-21,Pump,144.82,4.2,113.8
Pump-22,Pump,144.14,4.2,115.6
Pump-23,Pump,126.28,4.5,111.8
Valve-24,Valve,109.98,5.6,118.8
Pump-25,Pump,115.71,5.7,107.1
HeatExchanger-26,HeatExchanger,144.21,4.4,108.9
Pump-27,Pump,135.79,4.1,108.2
Pump-28,Pump,117.53,4.9,106.0
Pump-29,Pump,140.19,4.1,115.9
Pump-30,Pump,137.46,4.7,114.9
